,sentence_no,word,POS_Tags
321,15,not,RB
322,15,know,VB
323,15,",",","
324,15,verily,RB
325,15,",",","
326,15,all,PDT
327,15,that,DT
328,15,also,RB
329,15,is,VBZ
330,15,this,DT
331,15,Vishwaksena,NNP
332,15,.,.
333,16,Whatever,WP
334,16,is,VBZ
335,16,noble,JJ
336,16,and,CC
337,16,meritorious,JJ
338,16,in,IN
339,16,the,DT
340,16,universe,NN
341,16,",",","
342,16,indeed,RB
343,16,",",","
344,16,whatever,WDT
345,16,of,IN
346,16,good,NN
347,16,and,CC
348,16,of,IN
349,16,evil,NN
350,16,exists,VBZ
351,16,",",","
352,16,all,PDT
353,16,that,DT
354,16,is,VBZ
355,16,Kesava,NNP
356,16,who,WP
357,16,is,VBZ
358,16,inconceivable,JJ
359,16,.,.
360,17,Hence,RB
361,17,",",","
362,17,it,PRP
363,17,is,VBZ
364,17,absurd,JJ
365,17,to,TO
366,17,think,VB
367,17,of,IN
368,17,anything,NN
369,17,that,WDT
370,17,is,VBZ
371,17,superior,JJ
372,17,to,IN
373,17,Kesava,NNP
374,17,.,.
375,18,Kesava,NNP
376,18,is,VBZ
377,18,even,RB
378,18,such,JJ
379,18,.,.
380,19,More,JJR
381,19,than,IN
382,19,this,DT
383,19,",",","
384,19,He,PRP
385,19,is,VBZ
386,19,Narayana,NNP
387,19,",",","
388,19,the,DT
389,19,highest,JJS
390,19,of,IN
391,19,the,DT
392,19,high,JJ
393,19,",",","
394,19,immutable,JJ
395,19,and,CC
396,19,unfading,JJ
397,19,.,.
398,20,He,PRP
399,20,is,VBZ
400,20,the,DT
401,20,eternal,JJ
402,20,and,CC
403,20,immutable,JJ
404,20,cause,NN
405,20,of,IN
406,20,the,DT
407,20,entire,JJ
408,20,mobile,JJ
409,20,and,CC
410,20,immobile,JJ
411,20,universe,NN
412,20,with,IN
413,20,its,PRP$
414,20,beginning,NN
415,20,",",","
416,20,middle,NN
417,20,",",","
418,20,and,CC
419,20,end,NN
420,20,",",","
421,20,as,IN
422,20,also,RB
423,20,of,IN
424,20,all,DT
425,20,creatures,NNS
426,20,whose,WP$
427,20,birth,NN
428,20,follows,VBZ
429,20,their,PRP$
430,20,wish,NN
431,20,.,.
432,20,'',''
433,20,',''
434,20,'',''
435,21,SECTION,NN
436,21,CLIX,NNP
437,21,'',''
438,21,',''
439,21,Yudhishthira,NNP
440,21,said,VBD
441,21,",",","
442,21,``,``
443,21,Do,VB
444,21,thou,PRP
445,21,tell,VB
446,21,us,PRP
447,21,",",","
448,21,O,UH
449,21,slayer,NN
450,21,of,IN
451,21,Madhu,NNP
452,21,",",","
453,21,what,WP
454,21,the,DT
455,21,prosperity,NN
456,21,is,VBZ
457,21,that,WDT
458,21,attaches,VBZ
459,21,to,IN
460,21,the,DT
461,21,worship,NN
462,21,of,IN
463,21,the,DT
464,21,Brahmanas,NNP
465,21,.,.
466,22,Thou,PRP
467,22,art,VBP
468,22,well-conversant,JJ
469,22,with,IN
470,22,this,DT
471,22,topic,NN
472,22,.,.
473,23,Verily,RB
474,23,",",","
475,23,our,PRP$
476,23,grandsire,NN
477,23,knows,VBZ
478,23,thee,PRP
479,23,.,.
480,23,'',''
481,24,``,``
482,24,',''
483,24,Vasudeva,NNP
484,24,said,VBD
485,24,",",","
486,24,``,``
487,24,Hear,UH
488,24,",",","
489,24,O,UH
490,24,king,NN
491,24,",",","
492,24,with,IN
493,24,rapt,NN
494,24,attention,NN
495,24,to,IN
496,24,me,PRP
497,24,",",","
498,24,O,UH
499,24,chief,NN
500,24,of,IN
501,24,Bharata,NNP
502,24,',POS
503,24,s,NN
504,24,race,NN
505,24,",",","
506,24,as,IN
507,24,I,PRP
508,24,recite,VBP
509,24,to,IN
510,24,thee,PRP
511,24,what,WP
512,24,the,DT
513,24,merits,NNS
514,24,of,IN
515,24,the,DT
516,24,Brahmanas,NNPS
517,24,are,VBP
518,24,",",","
519,24,in,IN
520,24,accordance,NN
521,24,with,IN
522,24,truth,NN
523,24,",",","
524,24,O,UH
525,24,foremost,JJ
526,24,one,CD
527,24,of,IN
528,24,Kuru,NNP
529,24,',POS
530,24,s,POS
531,24,race,NN
532,24,!,.
533,25,Once,RB
534,25,on,IN
535,25,a,DT
536,25,time,NN
537,25,while,IN
538,25,I,PRP
539,25,was,VBD
540,25,seated,VBN
541,25,at,IN
542,25,Dwaravati,NNP
543,25,",",","
544,25,O,UH
545,25,delighter,NN
546,25,of,IN
547,25,the,DT
548,25,Kurus,NNPS
549,25,",",","
550,25,my,PRP$
551,25,son,NN
552,25,Pradyumna,NNP
553,25,",",","
554,25,enraged,VBN
555,25,by,IN
556,25,certain,JJ
557,25,Brahmanas,NNP
558,25,",",","
559,25,came,VBD
560,25,to,IN
561,25,me,PRP
562,25,and,CC
563,25,said,VBD
564,25,",",","
565,25,',''
566,25,O,UH
567,25,slayer,NN
568,25,of,IN
569,25,Madhu,NNP
570,25,",",","
571,25,what,WP
572,25,merit,NN
573,25,attaches,VBZ
574,25,to,IN
575,25,the,DT
576,25,worship,NN
577,25,of,IN
578,25,the,DT
579,25,Brahmanas,NNP
580,25,?,.
581,26,Whence,WRB
582,26,is,VBZ
583,26,their,PRP$
584,26,lordship,NN
585,26,derived,VBN
586,26,both,CC
587,26,here,RB
588,26,and,CC
589,26,hereafter,RB
590,26,?,.
591,27,O,UH
592,27,giver,NN
593,27,of,IN
594,27,honours,NNS
595,27,",",","
596,27,what,WDT
597,27,rewards,NNS
598,27,are,VBP
599,27,won,VBN
600,27,by,IN
601,27,constantly,RB
602,27,worshipping,VBG
603,27,the,DT
604,27,Brahmanas,NNPS
605,27,?,.
606,28,Do,VBP
607,28,thou,PRP
608,28,kindly,RB
609,28,explain,VB
610,28,this,DT
611,28,clearly,RB
612,28,to,IN
613,28,me,PRP
614,28,",",","
615,28,for,IN
616,28,my,PRP$
617,28,mind,NN
618,28,is,VBZ
619,28,disturbed,VBN
620,28,by,IN
621,28,doubts,NNS
622,28,in,IN
623,28,respect,NN
624,28,of,IN
625,28,this,DT
626,28,.,.
627,28,',''
628,29,When,WRB
629,29,these,DT
630,29,words,NNS
631,29,were,VBD
632,29,addressed,VBN
633,29,to,IN
634,29,me,PRP
635,29,by,IN
636,29,Pradyumna,NNP
637,29,",",","
638,29,I,PRP
639,29,answered,VBD
640,29,him,PRP
641,29,as,IN
642,29,follows,VBZ
643,29,.,.
644,30,Do,VB
645,30,thou,RB
646,30,hear,VB
647,30,",",","
648,30,O,UH
649,30,king,NN
650,30,",",","
651,30,with,IN
652,30,close,JJ
653,30,attention,NN
654,30,",",","
655,30,what,WP
656,30,those,DT
657,30,words,NNS
658,30,were,VBD
659,30,",",","
660,30,',''
661,30,O,UH
662,30,child,NN
663,30,of,IN
664,30,Rukmin,NNP
665,30,",",","
666,30,listen,VB
667,30,to,IN
668,30,me,PRP
669,30,as,IN
670,30,I,PRP
671,30,tell,VBP
672,30,thee,PRP
673,30,what,WP
674,30,the,DT
675,30,prosperity,NN
676,30,is,VBZ
677,30,that,IN
678,30,one,PRP
679,30,may,MD
680,30,win,VB
681,30,by,IN
682,30,worshipping,VBG
683,30,the,DT
684,30,Brahmanas,NNP
685,30,.,.
686,31,When,WRB
687,31,one,CD
688,31,sets,VBZ
689,31,oneself,PRP
690,31,to,IN
691,31,the,DT
692,31,acquisition,NN
693,31,of,IN
694,31,the,DT
695,31,well-known,JJ
696,31,aggregate,NN
697,31,of,IN
698,31,three,CD
699,31,(,HYPH
700,31,viz,NN
701,31,.,.
702,31,",",","
703,31,Righteousness,NNP
704,31,",",","
705,31,Wealth,NNP
706,31,",",","
707,31,and,CC
708,31,Pleasure,NNP
709,31,),-RRB-
710,31,",",","
711,31,or,CC
712,31,to,IN
713,31,the,DT
714,31,achievement,NN
715,31,of,IN
716,31,Emancipation,NNP
717,31,",",","
718,31,or,CC
719,31,to,IN
720,31,that,DT
721,31,of,IN
722,31,fame,NN
723,31,and,CC
724,31,prosperity,NN
725,31,",",","
726,31,or,CC
727,31,to,IN
728,31,the,DT
729,31,treatment,NN
730,31,and,CC
731,31,cure,NN
732,31,of,IN
733,31,disease,NN
734,31,",",","
735,31,or,CC
736,31,to,IN
737,31,the,DT
738,31,worship,NN
739,31,of,IN
740,31,the,DT
741,31,deities,NNS
742,31,and,CC
743,31,the,DT
744,31,Pitris,NNP
745,31,",",","
746,31,one,PRP
747,31,should,MD
748,31,take,VB
749,31,care,NN
750,31,to,TO
751,31,gratify,VB
752,31,the,DT
753,31,regenerate,JJ
754,31,ones,NNS
755,31,.,.
756,32,They,PRP
757,32,are,VBP
758,32,each,DT
759,32,a,DT
760,32,king,NN
761,32,Soma,NNP
762,32,(,:
763,32,that,WDT
764,32,sheds,VBZ
765,32,such,JJ
766,32,agreeable,JJ
767,32,light,NN
768,32,in,IN
769,32,the,DT
770,32,firmament,NN
771,32,.,.
772,32,),-RRB-
773,33,They,PRP
774,33,are,VBP
775,33,dispensers,NNS
776,33,of,IN
777,33,happiness,NN
778,33,and,CC
779,33,misery,NN
780,33,.,.
781,34,O,UH
782,34,child,NN
783,34,of,IN
784,34,Rukmini,NNP
785,34,",",","
786,34,whether,IN
787,34,in,IN
788,34,this,DT
789,34,or,CC
790,34,in,IN
791,34,the,DT
792,34,next,JJ
793,34,world,NN
794,34,",",","
795,34,O,UH
796,34,son,NN
797,34,",",","
798,34,everything,NN
799,34,agreeable,JJ
800,34,has,VBZ
801,34,its,PRP$
802,34,origin,NN
803,34,in,IN
804,34,the,DT
805,34,Brahmanas,NNP
806,34,.,.
807,35,I,PRP
808,35,have,VBP
809,35,no,DT
810,35,doubt,NN
811,35,in,IN
812,35,this,DT
813,35,!,.
814,36,From,IN
815,36,the,DT
816,36,worship,NN
817,36,of,IN
818,36,the,DT
819,36,Brahmanas,NNP
820,36,flow,NN
821,36,mighty,JJ
822,36,achievements,NNS
823,36,and,CC
824,36,fame,NN
825,36,and,CC
826,36,strength,NN
827,36,.,.
828,37,The,DT
829,37,denizens,NNS
830,37,of,IN
831,37,all,PDT
832,37,the,DT
833,37,worlds,NNS
834,37,",",","
835,37,and,CC
836,37,the,DT
837,37,Regents,NNPS
838,37,of,IN
839,37,the,DT
840,37,universe,NN
841,37,",",","
842,37,are,VBP
843,37,all,RB
844,37,worshippers,NNS
845,37,of,IN
846,37,Brahmanas,NNP
847,37,.,.
848,38,How,WRB
849,38,then,RB
850,38,",",","
851,38,O,UH
852,38,son,NN
853,38,",",","
854,38,can,MD
855,38,we,PRP
856,38,disregard,VB
857,38,them,PRP
858,38,",",","
859,38,filled,VBN
860,38,with,IN
861,38,the,DT
862,38,idea,NN
863,38,that,IN
864,38,we,PRP
865,38,are,VBP
866,38,lords,NNS
867,38,of,IN
868,38,the,DT
869,38,earth,NN
870,38,?,.
871,39,O,UH
872,39,mighty-armed,JJ
873,39,one,CD
874,39,",",","
875,39,do,VB
876,39,not,RB
877,39,suffer,VB
878,39,thy,PRP$
879,39,wrath,NN
880,39,to,TO
881,39,embrace,VB
882,39,the,DT
883,39,Brahmanas,NNP
884,39,as,IN
885,39,its,PRP$
886,39,object,NN
887,39,.,.
888,40,In,IN
889,40,this,DT
890,40,as,IN
891,40,also,RB
892,40,in,IN
893,40,the,DT
894,40,next,JJ
895,40,world,NN
896,40,",",","
897,40,Brahmanas,NNP
898,40,are,VBP
899,40,regarded,VBN
900,40,as,IN
901,40,beings,NNS
902,40,.,.
903,41,They,PRP
904,41,have,VBP
905,41,direct,JJ
906,41,knowledge,NN
907,41,of,IN
908,41,everything,NN
909,41,in,IN
910,41,the,DT
911,41,universe,NN
912,41,.,.
913,42,Verily,RB
914,42,",",","
915,42,they,PRP
916,42,are,VBP
917,42,capable,JJ
918,42,of,IN
919,42,reducing,VBG
920,42,everything,NN
921,42,into,IN
922,42,ashes,NNS
923,42,",",","
924,42,if,IN
925,42,angry,JJ
926,42,.,.
927,43,They,PRP
928,43,are,VBP
929,43,capable,JJ
930,43,of,IN
931,43,creating,VBG
932,43,other,JJ
933,43,worlds,NNS
934,43,and,CC
935,43,other,JJ
936,43,Regents,NNPS
937,43,of,IN
938,43,worlds,NNS
939,43,(,","
940,43,than,IN
941,43,those,DT
942,43,that,WDT
943,43,exist,VBP
944,43,),-RRB-
945,43,.,.
946,44,Why,WRB
947,44,then,RB
948,44,should,MD
949,44,not,RB
950,44,persons,NNS
951,44,who,WP
952,44,are,VBP
953,44,possessed,VBN
954,44,of,IN
955,44,energy,NN
956,44,and,CC
957,44,correct,JJ
958,44,knowledge,NN
959,44,behave,VBP
960,44,with,IN
961,44,obedience,NN
962,44,and,CC
963,44,respect,NN
964,44,towards,IN
965,44,them,PRP
966,44,?,.
967,45,Formerly,RB
968,45,",",","
969,45,in,IN
970,45,my,PRP$
971,45,house,NN
972,45,",",","
973,45,O,UH
974,45,son,NN
975,45,",",","
976,45,dwelt,VBD
977,45,the,DT
978,45,Brahmana,NNP
979,45,Durvasa,NNP
980,45,whose,WP$
981,45,complexion,NN
982,45,was,VBD
983,45,green,JJ
984,45,and,CC
985,45,tawny,JJ
986,45,.,.
987,46,Clad,VBN
988,46,in,IN
989,46,rags,NNS
990,46,",",","
991,46,he,PRP
992,46,had,VBD
993,46,a,DT
994,46,stick,NN
995,46,made,VBN
996,46,of,IN
997,46,the,DT
998,46,Vilwa,NNP
999,46,tree,NN
1000,46,.,.
1001,47,[,-LRB-
1002,47,615,CD
1003,47,],-RRB-
1004,47,His,PRP$
1005,47,beard,NN
1006,47,was,VBD
1007,47,long,JJ
1008,47,and,CC
1009,47,he,PRP
1010,47,was,VBD
1011,47,exceedingly,RB
1012,47,emaciated,JJ
1013,47,.,.
1014,48,He,PRP
1015,48,was,VBD
1016,48,taller,JJR
1017,48,in,IN
1018,48,stature,NN
1019,48,than,IN
1020,48,the,DT
1021,48,tallest,JJS
1022,48,man,NN
1023,48,on,IN
1024,48,earth,NN
1025,48,.,.
1026,49,Wandering,VBG
1027,49,over,IN
1028,49,all,PDT
1029,49,the,DT
1030,49,worlds,NNS
1031,49,",",","
1032,49,viz,NN
1033,49,.,.
1034,49,",",","
1035,49,that,IN
1036,49,which,WDT
1037,49,belongs,VBZ
1038,49,to,IN
1039,49,human,JJ
1040,49,beings,NNS
1041,49,and,CC
1042,49,those,DT
1043,49,that,WDT
1044,49,are,VBP
1045,49,for,IN
1046,49,the,DT
1047,49,deities,NNS
1048,49,and,CC
1049,49,other,JJ
1050,49,superior,JJ
1051,49,beings,NNS
1052,49,",",","
1053,49,even,RB
1054,49,this,DT
1055,49,was,VBD
1056,49,the,DT
1057,49,verse,NN
1058,49,which,WDT
1059,49,he,PRP
1060,49,sang,VBD
1061,49,constantly,RB
1062,49,among,IN
1063,49,assemblies,NNS
1064,49,and,CC
1065,49,in,IN
1066,49,public,JJ
1067,49,squares,NNS
1068,49,.,.
1069,50,``,``
1070,50,Who,WP
1071,50,is,VBZ
1072,50,there,EX
1073,50,that,DT
1074,50,would,MD
1075,50,cause,VB
1076,50,the,DT
1077,50,Brahmana,NNP
1078,50,Durvasa,NNP
1079,50,to,TO
1080,50,dwell,VB
1081,50,in,IN
1082,50,his,PRP$
1083,50,house,NN
1084,50,",",","
1085,50,doing,VBG
1086,50,the,DT
1087,50,duties,NNS
1088,50,of,IN
1089,50,hospitality,NN
1090,50,towards,IN
1091,50,him,PRP
1092,50,?,.
1093,51,He,PRP
1094,51,becomes,VBZ
1095,51,enraged,JJ
1096,51,with,IN
1097,51,every,DT
1098,51,one,NN
1099,51,if,IN
1100,51,he,PRP
1101,51,finds,VBZ
1102,51,even,RB
1103,51,the,DT
1104,51,slightest,JJS
1105,51,transgression,NN
1106,51,.,.
1107,52,Hearing,VBG
1108,52,this,DT
1109,52,regarding,VBG
1110,52,my,PRP$
1111,52,disposition,NN
1112,52,",",","
1113,52,who,WP
1114,52,is,VBZ
1115,52,there,EX
1116,52,that,WDT
1117,52,will,MD
1118,52,give,VB
1119,52,me,PRP
1120,52,refuge,NN
1121,52,?,.
1122,53,Indeed,RB
1123,53,",",","
1124,53,he,PRP
1125,53,that,WDT
1126,53,would,MD
1127,53,give,VB
1128,53,me,PRP
1129,53,shelter,NN
1130,53,as,IN
1131,53,a,DT
1132,53,guest,NN
1133,53,should,MD
1134,53,not,RB
1135,53,do,VB
1136,53,anything,NN
1137,53,to,TO
1138,53,anger,VB
1139,53,me,PRP
1140,53,!,.
1141,53,'',''
1142,54,When,WRB
1143,54,I,PRP
1144,54,saw,VBD
1145,54,that,IN
1146,54,no,DT
1147,54,one,NN
1148,54,ventured,VBD
1149,54,to,TO
1150,54,give,VB
1151,54,him,PRP
1152,54,shelter,NN
1153,54,in,IN
1154,54,his,PRP$
1155,54,house,NN
1156,54,",",","
1157,54,I,PRP
1158,54,invited,VBD
1159,54,him,PRP
1160,54,and,CC
1161,54,caused,VBD
1162,54,him,PRP
1163,54,to,TO
1164,54,take,VB
1165,54,up,RP
1166,54,his,PRP$
1167,54,residence,NN
1168,54,in,IN
1169,54,my,PRP$
1170,54,abode,NN
1171,54,.,.
1172,55,On,IN
1173,55,certain,JJ
1174,55,days,NNS
1175,55,he,PRP
1176,55,would,MD
1177,55,eat,VB
1178,55,the,DT
1179,55,food,NN
1180,55,sufficient,JJ
1181,55,for,IN
1182,55,the,DT
1183,55,needs,NNS
1184,55,of,IN
1185,55,thousands,NNS
1186,55,of,IN
1187,55,persons,NNS
1188,55,.,.
1189,56,On,IN
1190,56,certain,JJ
1191,56,other,JJ
1192,56,days,NNS
1193,56,he,PRP
1194,56,would,MD
1195,56,eat,VB
1196,56,very,RB
1197,56,little,JJ
1198,56,.,.
1199,57,On,IN
1200,57,some,DT
1201,57,days,NNS
1202,57,he,PRP
1203,57,would,MD
1204,57,go,VB
1205,57,out,IN
1206,57,of,IN
1207,57,my,PRP$
1208,57,house,NN
1209,57,and,CC
1210,57,would,MD
1211,57,not,RB
1212,57,return,VB
1213,57,.,.
1214,58,He,PRP
1215,58,would,MD
1216,58,sometimes,RB
1217,58,laugh,VB
1218,58,without,IN
1219,58,any,DT
1220,58,ostensible,JJ
1221,58,reason,NN
1222,58,and,CC
1223,58,sometimes,RB
1224,58,cry,VB
1225,58,as,IN
1226,58,causelessly,RB
1227,58,.,.
1228,59,At,IN
1229,59,that,DT
1230,59,time,NN
1231,59,there,EX
1232,59,was,VBD
1233,59,nobody,NN
1234,59,on,IN
1235,59,earth,NN
1236,59,that,WDT
1237,59,was,VBD
1238,59,equal,JJ
1239,59,to,IN
1240,59,him,PRP
1241,59,in,IN
1242,59,years,NNS
1243,59,.,.
1244,60,One,CD
1245,60,day,NN
1246,60,",",","
1247,60,entering,VBG
1248,60,the,DT
1249,60,quarters,NNS
1250,60,assigned,VBN
1251,60,to,IN
1252,60,him,PRP
1253,60,he,PRP
1254,60,burnt,VBD
1255,60,all,PDT
1256,60,the,DT
1257,60,beds,NNS
1258,60,and,CC
1259,60,coverlets,NNS
1260,60,and,CC
1261,60,all,PDT
1262,60,the,DT
1263,60,well-adorned,JJ
1264,60,damsels,NNS
1265,60,that,WDT
1266,60,were,VBD
1267,60,there,RB
1268,60,for,IN
1269,60,serving,VBG
1270,60,him,PRP
1271,60,.,.
1272,61,Doing,VBG
1273,61,this,DT
1274,61,",",","
1275,61,he,PRP
1276,61,went,VBD
1277,61,out,RP
1278,61,.,.
1279,62,Of,IN
1280,62,highly,RB
1281,62,praiseworthy,JJ
1282,62,vows,NNS
1283,62,",",","
1284,62,he,PRP
1285,62,met,VBD
1286,62,me,PRP
1287,62,shortly,RB
1288,62,after,IN
1289,62,this,DT
1290,62,and,CC
1291,62,addressing,VBG
1292,62,me,PRP
1293,62,",",","
1294,62,said,VBD
1295,62,",",","
1296,62,``,``
1297,62,O,UH
1298,62,Krishna,NNP
1299,62,",",","
1300,62,I,PRP
1301,62,wish,VBP
1302,62,to,TO
1303,62,eat,VB
1304,62,frumenty,NN
1305,62,without,IN
1306,62,delay,NN
1307,62,!,.
1308,62,'',''
1309,63,Having,VBG
1310,63,understood,VBN
1311,63,his,PRP$
1312,63,mind,NN
1313,63,previously,RB
1314,63,",",","
1315,63,I,PRP
1316,63,had,VBD
1317,63,set,VBN
1318,63,my,PRP$
1319,63,servants,NNS
1320,63,to,TO
1321,63,prepare,VB
1322,63,every,DT
1323,63,kind,NN
1324,63,of,IN
1325,63,food,NN
1326,63,and,CC
1327,63,drink,NN
1328,63,.,.
1329,64,Indeed,RB
1330,64,",",","
1331,64,many,JJ
1332,64,excellent,JJ
1333,64,viands,NNS
1334,64,had,VBD
1335,64,been,VBN
1336,64,kept,VBN
1337,64,ready,JJ
1338,64,.,.
1339,65,As,RB
1340,65,soon,RB
1341,65,as,IN
1342,65,I,PRP
1343,65,was,VBD
1344,65,asked,VBN
1345,65,",",","
1346,65,I,PRP
1347,65,caused,VBD
1348,65,hot,JJ
1349,65,frumenty,NN
1350,65,to,TO
1351,65,be,VB
1352,65,brought,VBN
1353,65,and,CC
1354,65,offered,VBN
1355,65,to,IN
1356,65,the,DT
1357,65,ascetic,JJ
1358,65,.,.
1359,66,Having,VBG
1360,66,eaten,VBN
1361,66,some,DT
1362,66,",",","
1363,66,he,PRP
1364,66,quickly,RB
1365,66,said,VBD
1366,66,unto,IN
1367,66,me,PRP
1368,66,",",","
1369,66,``,``
1370,66,Do,VB
1371,66,thou,PRP
